social_class,surname_type,surname
门阀士族,single,王
门阀士族,single,崔
门阀士族,single,卢
门阀士族,single,郑
门阀士族,single,裴
门阀士族,single,谢
门阀士族,single,韦
门阀士族,single,庾
庶族,single,李
庶族,single,张
庶族,single,刘
庶族,single,柳
庶族,single,阎
庶族,single,梁
庶族,single,沈
庶族,single,齐
庶族,single,孔
庶族,single,韩
庶族,single,尹
庶族,single,陆
庶族,single,虞
庶族,single,管
庶族,compound,欧阳
庶族,compound,司马
寒门,compound,司徒
寒门,compound,端木
寒门,compound,南宫
寒门,single,杨
寒门,single,陈
寒门,single,袁
寒门,single,祁
寒门,single,江
寒门,single,申
寒门,single,高
寒门,single,蒋
寒门,single,钟
寒门,single,曹
寒门,single,常
寒门,single,鲍
寒门,single,杜
寒门,single,程
寒门,single,孟
胡族,compound,慕容
胡族,compound,宇文
胡族,compound,拓跋
胡族,compound,独孤
胡族,compound,贺拔
胡族,compound,赫连
胡族,compound,叱干
胡族,compound,秃发
胡族,compound,乙弗
胡族,compound,尉迟
胡族,compound,乞伏
胡族,compound,侯莫陈
胡族,compound,阿史那
胡族,compound,步六孤
胡族,compound,纥奚
平民,single,石
平民,single,赵
平民,single,钱
平民,single,孙
平民,single,周
平民,single,莫
平民,single,吴
平民,single,郑
平民,single,冯
平民,single,陈
平民,single,褚
平民,single,卫
平民,single,韩
平民,single,魏
平民,single,施
平民,single,史
平民,single,谷
平民,single,归
平民,single,薛
平民,single,包
平民,single,厉
平民,single,林
平民,single,罗
平民,single,宋
平民,single,唐
平民,single,许
平民,single,马
平民,single,朱
平民,single,胡
平民,single,邓
平民,single,郭
平民,single,何
